"Regionale kerncijfers Nederland"
""
"";"";"Onderwerp"
"";"";"Bevolking|Bevolkingssamenstelling op 1 januari|Totale bevolking";"Bevolking|Bevolkingssamenstelling op 1 januari|Migratieachtergrond|Migratieachtergrond, relatief|Met migratieachtergrond|Totaal met migratieachtergrond";"Bevolking|Particuliere huishoudens|Particuliere huishoudens|Totaal aantal particuliere huishoudens";"Bevolking|Particuliere huishoudens|Gemiddelde huishoudensgrootte";"Lokalisering|Wijken";"Lokalisering|Buurten"
"Regio's";"Perioden";"aantal";"%";"aantal";"personen per 1 huishouden";"aantal";"aantal"
"Groningen (PV)";"2021";"586937";"16,8";"296374";"1,95";"122";"651"
"Fryslân (PV)";"2021";"651435";"10,5";"295870";"2,16";"232";"901"
"Drenthe (PV)";"2021";"494771";"10,6";"220380";"2,20";"189";"678"
"Overijssel (PV)";"2021";"1166533";"16,1";"512031";"2,24";"268";"1064"
"Flevoland (PV)";"2021";"428226";"33,5";"178960";"2,36";"38";"318"
"Gelderland (PV)";"2021";"2096603";"16,5";"938341";"2,20";"328";"1781"
"Utrecht (PV)";"2021";"1361153";"23,8";"613804";"2,19";"222";"969"
"Noord-Holland (PV)";"2021";"2888486";"34,0";"1381760";"2,06";"474";"2018"
"Zuid-Holland (PV)";"2021";"3726050";"33,6";"1729250";"2,13";"490";"2315"
"Zeeland (PV)";"2021";"385400";"19,3";"177236";"2,14";"169";"453"
"Noord-Brabant (PV)";"2021";"2573949";"20,3";"1165895";"2,18";"469";"2021"
"Limburg (PV)";"2021";"1115872";"22,7";"533542";"2,05";"247";"911"
"Bron: CBS"
