Version;Date_of_report;Date_of_statistics_week_start;Variant_code;Variant_name;ECDC_category;WHO_category;May_include_samples_listed_before;Sample_size;Variant_cases
3;2022-01-06 20:17:41;2020-11-30;B.1.351;Beta;VOC;VOC;False;75;0
3;2022-01-06 20:17:41;2020-11-30;P.1;Gamma;VOC;VOC;False;75;0
3;2022-01-06 20:17:41;2020-11-30;B.1.617.2;Delta;VOC;VOC;False;75;0
3;2022-01-06 20:17:41;2020-11-30;B.1.1.529;Omicron;VOC;VOC;False;75;0
3;2022-01-06 20:17:41;2020-11-30;B.1.621;Mu;VOI;VOI;False;75;0
3;2022-01-06 20:17:41;2020-11-30;C.37;Lambda;VOI;VOI;False;75;0
3;2022-01-06 20:17:41;2020-11-30;AY.4.2;;VOI;;True;75;0
3;2022-01-06 20:17:41;2020-11-30;C.36+S:L452R;;VUM;;False;75;0
3;2022-01-06 20:17:41;2020-11-30;B.1.1.318;;VUM;;False;75;0
3;2022-01-06 20:17:41;2020-11-30;P.1+S:P681H;;VUM;;True;75;0
3;2022-01-06 20:17:41;2020-11-30;B.1.617.2+S:K417N;;VUM;;True;75;0
3;2022-01-06 20:17:41;2020-11-30;C.1.2;;VUM;VUM;False;75;0
3;2022-01-06 20:17:41;2020-11-30;B.1.617.2+S:E484del;;VUM;;True;75;0
3;2022-01-06 20:17:41;2020-11-30;B.1.617.2+S:Q613H;;VUM;;True;75;0
3;2022-01-06 20:17:41;2020-11-30;B.1.617.2+S:Q677H;;VUM;;True;75;0
3;2022-01-06 20:17:41;2020-11-30;B.1.640;;VUM;VUM;False;75;0
3;2022-01-06 20:17:41;2020-11-30;B.1.1.7;Alpha;DEV;VOI;False;75;1
3;2022-01-06 20:17:41;2020-11-30;B.1.525;;DEV;VUM;False;75;0
3;2022-01-06 20:17:41;2020-11-30;B.1.617.1;;DEV;VUM;False;75;0
3;2022-01-06 20:17:41;2020-11-30;B.1.526;;DEV;VUM;False;75;0
3;2022-01-06 20:17:41;2020-11-30;B.1.1.519;;DEV;VUM;False;75;0
3;2022-01-06 20:17:41;2020-11-30;B.1.630;;;VUM;False;75;0
3;2022-01-06 20:17:41;2020-11-30;AZ.5;;;VUM;True;75;0
3;2022-01-06 20:17:41;2020-12-07;B.1.351;Beta;VOC;VOC;False;127;0
